Timestamp,Spol,Koliko imas godina?,Zavrsio si?,sto mislis koliko ima gradova u Hrvatskoj?,mislis li da je udaljenost od Zagreba do Pariza veća od 3000 km?,sto mislis kolika je ta udaljenost?,,,
5/20/2015 18:32:18,zensko,21,Srednju skolu,80,Ne,2000,,,
5/22/2015 14:27:09,zensko,21,Srednju skolu,80,Ne,2000,,,
5/20/2015 20:03:18,zensko,21,Srednju skolu,72,Ne,635,,,
5/20/2015 21:27:25,zensko,21,Srednju skolu,70,Ne,1000,,,
5/20/2015 22:11:23,musko,21,Srednju skolu,60,Ne,1500,,,
5/21/2015 0:32:28,zensko,21,Srednju skolu,58,Ne,1500,,,
5/20/2015 19:14:41,musko,21,Srednju skolu,50,Ne,1500,,,
5/26/2015 15:26:19,zensko,21,Srednju skolu,50,Ne,3600,,,
5/20/2015 20:33:31,zensko,21,Srednju skolu,42,Ne,1800,,,
5/20/2015 19:02:56,zensko,21,Srednju skolu,35,Ne,2000,,,
5/20/2015 23:01:43,musko,21,Srednju skolu,31,Ne,1867,,,
5/22/2015 20:33:10,zensko,22,Srednju skolu,5000,Ne,2750,,,
5/20/2015 19:03:38,zensko,22,Srednju skolu,1500,Ne,1785,,,
5/20/2015 19:25:18,musko,22,Srednju skolu,1000,Ne,1500,,,
5/20/2015 19:43:38,zensko,22,Srednju skolu,1000,Ne,1800,,,
5/20/2015 19:27:33,zensko,22,Srednju skolu,500,Da,3500,,,
5/20/2015 19:20:24,zensko,22,Srednju skolu,400,Ne,700,,,
5/20/2015 21:48:53,zensko,22,Srednju skolu,300,Ne,1000,,,
5/21/2015 19:42:06,zensko,22,Srednju skolu,220,Da,4000,,,
5/20/2015 19:26:12,zensko,22,Srednju skolu,200,Ne,1500,,,
5/20/2015 19:42:01,zensko,22,Srednju skolu,200,Ne,3000,,,
5/20/2015 19:50:50,musko,22,Srednju skolu,200,Da,5000,,,
5/20/2015 21:28:48,zensko,22,Srednju skolu,180,Ne,1600,,,
5/20/2015 22:32:56,zensko,22,Srednju skolu,150,Da,4500,,,
5/20/2015 23:08:05,zensko,22,Srednju skolu,150,Ne,2300,,,
5/20/2015 21:25:38,musko,22,Srednju skolu,149,Ne,1200,,,
5/21/2015 22:31:52,zensko,22,Srednju skolu,138,Ne,2000,,,
5/20/2015 19:36:22,zensko,22,Srednju skolu,128,Ne,1500,,,
5/21/2015 23:06:53,zensko,22,Srednju skolu,128,Da,4000,,,
5/28/2015 13:39:43,zensko,22,Srednju skolu,128,Ne,1400,,,
