"Spol","Koliko.imas.godina.","Zavrsio.si.","sto.mislis.koliko.ima.gradova.u.Hrvatskoj.","mislis.li.da.je.udaljenost.od.Zagreba.do.Pariza.veÄ.a.od.3000.km.","sto.mislis.kolika.je.ta.udaljenost."
"112","zensko",22,"Srednju skolu",127,"Ne",2400
"113","zensko",22,"Srednju skolu",126,"Ne",1500
"114","zensko",22,"Srednju skolu",125,"Ne",2890
"115","zensko",22,"Srednju skolu",123,"Ne",2000
"116","musko",22,"Srednju skolu",120,"Ne",1000
"117","zensko",22,"Srednju skolu",120,"Ne",1200
"118","musko",22,"Srednju skolu",115,"Ne",1400
"119","zensko",22,"Srednju skolu",100,"Ne",2000
"120","zensko",22,"Srednju skolu",100,"Ne",2000
"121","zensko",22,"Srednju skolu",98,"Ne",2579
"122","zensko",22,"Srednju skolu",87,"Ne",2600
"123","zensko",22,"Srednju skolu",84,"Ne",2200
"124","musko",22,"Srednju skolu",82,"Ne",2600
"125","zensko",22,"Srednju skolu",80,"Ne",1000
"126","zensko",22,"Srednju skolu",128,"Ne",980
"127","zensko",23,"Srednju skolu",1000,"Ne",1500
"128","musko",23,"Srednju skolu",180,"Ne",1500
"129","zensko",23,"Srednju skolu",150,"Ne",1700
"130","zensko",23,"Srednju skolu",150,"Ne",2100
"131","zensko",23,"Srednju skolu",128,"Da",10000
"132","zensko",23,"Srednju skolu",128,"Da",3001
"133","zensko",23,"Srednju skolu",128,"Ne",1500
"134","zensko",23,"Srednju skolu",100,"Ne",2500
"135","zensko",23,"Srednju skolu",50,"Ne",2000
"136","zensko",23,"Srednju skolu",50,"Ne",2000
"137","zensko",23,"Srednju skolu",46,"Ne",2672
"138","zensko",23,"Srednju skolu",45,"Ne",1500
"139","musko",23,"Srednju skolu",40,"Ne",1500
"140","musko",23,"Fakultet",70,"Da",3000
"141","zensko",24,"Srednju skolu",120,"Ne",1000
"142","musko",24,"Srednju skolu",70,"Ne",2000
"143","musko",24,"Fakultet",70,"Ne",1800
"144","zensko",25,"Srednju skolu",25,"Ne",1300
"145","zensko",25,"Srednju skolu",125,"Ne",1300
"146","musko",26,"Fakultet",90,"Ne",2500
"147","musko",26,"Srednju skolu",126,"Ne",1500
"148","zensko",27,"Srednju skolu",100,"Ne",1700
"149","musko",28,"Srednju skolu",300,"Ne",2000
"150","zensko",28,"Srednju skolu",500,"Ne",2500
"151","zensko",29,"Srednju skolu",30,"Ne",1000
"152","musko",29,"Srednju skolu",80,"Da",3500
"153","musko",30,"Srednju skolu",70,"Ne",2000
"154","musko",30,"Srednju skolu",180,"Ne",1500
"155","zensko",31,"Fakultet",130,"Ne",1000
"156","zensko",31,"Fakultet",52,"Ne",1000
"157","musko",31,"Fakultet",30,"Ne",2000
"158","zensko",32,"Fakultet",20,"Ne",2000
"159","musko",34,"Fakultet",150,"Ne",1000
"160","musko",34,"Fakultet",100,"Ne",2000
"161","zensko",34,"Fakultet",130,"Ne",1600
"162","zensko",34,"Fakultet",350,"Ne",1600
"163","zensko",35,"Fakultet",300,"Da",3500
"164","zensko",35,"Fakultet",127,"Ne",1426
"165","musko",35,"Fakultet",150,"Ne",1500
"166","zensko",35,"Fakultet",150,"Ne",1500
"167","zensko",36,"Fakultet",50,"Ne",2800
"168","musko",36,"Fakultet",95,"Ne",1850
"169","zensko",37,"Fakultet",103,"Ne",1863
"170","zensko",37,"Fakultet",100,"Ne",2500
"171","musko",37,"Fakultet",200,"Ne",2000
"172","zensko",37,"Fakultet",50,"Ne",1200
"173","musko",37,"Srednju skolu",150,"Ne",2000
"174","musko",37,"Srednju skolu",150,"Ne",1000
"175","zensko",38,"Fakultet",20,"Ne",1000
"176","musko",38,"Fakultet",45,"Ne",2200
"177","zensko",38,"Srednju skolu",3000,"Ne",2250
"178","zensko",38,"Fakultet",90,"Ne",1500
"179","musko",39,"Fakultet",40,"Ne",1200
