"Spol","Koliko.imas.godina.","Zavrsio.si.","sto.mislis.kolika.je.udaljenost.od.Zagreba.do.Pariza.","mislis.li.da.u.Hrvatskoj.ima.vise.od.400.gradova.","sto.mislis.koliko.ih.ima."
"115","musko",30,"Fakultet",1050,"Ne",220
"116","musko",30,"Fakultet",1600,"Ne",200
"117","zensko",30,"Fakultet",1300,"Ne",200
"118","zensko",30,"Srednju skolu",2000,"Ne",170
"119","musko",30,"Fakultet",1300,"Ne",150
"120","musko",30,"Fakultet",1200,"Ne",100
"121","musko",31,"Fakultet",1500,"Ne",200
"122","musko",32,"Fakultet",2000,"Ne",300
"123","musko",32,"Fakultet",1500,"Ne",250
"124","musko",32,"Srednju skolu",1400,"Ne",150
"125","musko",32,"Fakultet",1200,"Ne",110
"126","zensko",32,"Fakultet",700,"Ne",50
"127","musko",32,"Fakultet",1500,"Ne",40
"128","zensko",33,"Fakultet",3500,"Da",420
"129","musko",33,"Fakultet",1100,"Ne",370
"130","zensko",33,"Fakultet",1000,"Ne",350
"131","zensko",33,"Fakultet",1500,"Ne",300
"132","zensko",33,"Fakultet",600,"Ne",150
"133","zensko",33,"Srednju skolu",1200,"Ne",120
"134","zensko",33,"Fakultet",1500,"Ne",100
"135","musko",34,"Fakultet",1200,"Da",500
"136","zensko",34,"Srednju skolu",2000,"Ne",380
"137","zensko",34,"Fakultet",1000,"Ne",250
"138","musko",34,"Fakultet",900,"Ne",35
"139","zensko",35,"Fakultet",900,"Ne",350
"140","zensko",35,"Fakultet",1500,"Ne",200
"141","musko",35,"Fakultet",800,"Ne",200
"142","zensko",35,"Fakultet",1414,"Ne",180
"143","zensko",36,"Fakultet",800,"Ne",350
"144","musko",37,"Fakultet",1100,"Ne",100
"145","musko",37,"Fakultet",1900,"Ne",63
"146","zensko",38,"Osnovnu skolu",2000,"Da",600
"147","zensko",38,"Srednju skolu",1200,"Da",450
"148","zensko",38,"Srednju skolu",2100,"Ne",399
"149","zensko",38,"Srednju skolu",1300,"Ne",300
